RefSeq	Chr	Strand	Start	End	Symbol
GRMZM5G800096_T01	Pt	-	110137	111685	GRMZM5G800096
GRMZM5G800101_T01	Mt	+	330766	335518	GRMZM5G800101
GRMZM5G800457_T01	Mt	-	98037	98789	GRMZM5G800457
GRMZM5G800780_T01	Pt	+	73841	74543	GRMZM5G800780
GRMZM5G800980_T01	Pt	-	50534	52367	GRMZM5G800980
GRMZM5G801074_T01	Pt	+	66997	67198	GRMZM5G801074
GRMZM5G801746_T01	Mt	+	374934	375234	GRMZM5G801746
GRMZM5G801958_T01	Pt	-	63866	65748	GRMZM5G801958
GRMZM5G804358_T02	Mt	-	76131	84976	GRMZM5G804358
GRMZM5G804671_T01	Mt	+	510533	510887	GRMZM5G804671
GRMZM5G804708_T01	Pt	-	66311	70204	GRMZM5G804708
GRMZM5G804776_T01	Pt	-	79037	79409	GRMZM5G804776
GRMZM5G805421_T01	Mt	-	411136	411628	GRMZM5G805421
GRMZM5G805940_T01	Mt	+	448355	448778	GRMZM5G805940
GRMZM5G806435_T01	Mt	-	11110	13315	GRMZM5G806435
GRMZM5G806488_T01	Pt	+	92869	131084	GRMZM5G806488
GRMZM5G807592_T01	Mt	-	356473	356917	GRMZM5G807592
GRMZM5G808402_T01	Pt	-	54175	56114	GRMZM5G808402
GRMZM5G808939_T01	Pt	+	70705	72490	GRMZM5G808939
GRMZM5G809869_T01	Pt	+	31857	32568	GRMZM5G809869
GRMZM5G810298_T01	Pt	+	131264	133501	GRMZM5G810298
GRMZM5G811749_T01	Pt	-	3362	5604	GRMZM5G811749
GRMZM5G813608_T01	Pt	-	12719	15097	GRMZM5G813608
GRMZM5G813949_T01	Mt	-	108118	108487	GRMZM5G813949
GRMZM5G814594_T01	Mt	+	185995	186382	GRMZM5G814594
GRMZM5G815453_T01	Pt	+	56823	58323	GRMZM5G815453
GRMZM5G815553_T01	Pt	-	111759	112005	GRMZM5G815553
GRMZM5G815606_T01	Pt	+	67531	68044	GRMZM5G815606
GRMZM5G816274_T01	Mt	+	58051	58528	GRMZM5G816274
GRMZM5G816453_T01	Mt	+	8751	9915	GRMZM5G816453
GRMZM5G816772_T01	Mt	-	232090	233200	GRMZM5G816772
GRMZM5G817985_T01	Mt	+	171675	172014	GRMZM5G817985
GRMZM5G818111_T02	Pt	+	138322	139807	GRMZM5G818111
GRMZM5G819109_T01	Mt	+	385082	385424	GRMZM5G819109
GRMZM5G819258_T01	Mt	+	108348	108693	GRMZM5G819258
GRMZM5G821527_T01	Mt	-	496996	497812	GRMZM5G821527
GRMZM5G821687_T01	Mt	-	389274	389718	GRMZM5G821687
GRMZM5G822170_T01	Mt	-	388670	389072	GRMZM5G822170
GRMZM5G822401_T01	Mt	-	191868	192351	GRMZM5G822401
GRMZM5G822734_T01	Mt	-	472551	472941	GRMZM5G822734
GRMZM5G824660_T01	Mt	-	233669	234005	GRMZM5G824660
GRMZM5G825253_T01	Mt	-	204826	205144	GRMZM5G825253
GRMZM5G826322_T01	Mt	-	307856	308156	GRMZM5G826322
GRMZM5G826672_T01	Mt	-	336422	336818	GRMZM5G826672
GRMZM5G827309_T01	Mt	+	250362	254128	GRMZM5G827309
GRMZM5G827951_T01	Mt	-	346144	347501	GRMZM5G827951
GRMZM5G828883_T01	Mt	+	287308	287710	GRMZM5G828883
GRMZM5G830210_T01	Pt	-	78084	78408	GRMZM5G830210
GRMZM5G831399_T01	Pt	+	72773	73328	GRMZM5G831399
GRMZM5G831540_T01	Pt	+	59193	62447	GRMZM5G831540
GRMZM5G833299_T01	Mt	-	254396	255221	GRMZM5G833299
GRMZM5G834128_T01	Mt	+	204631	207081	GRMZM5G834128
GRMZM5G834207_T01	Mt	-	201992	202316	GRMZM5G834207
GRMZM5G834282_T01	Mt	+	548915	549248	GRMZM5G834282
GRMZM5G834298_T01	Mt	+	234410	234776	GRMZM5G834298
GRMZM5G834666_T01	Mt	-	265987	266410	GRMZM5G834666
GRMZM5G834908_T01	Mt	+	71055	71394	GRMZM5G834908
GRMZM5G834995_T01	Mt	-	306308	306650	GRMZM5G834995
GRMZM5G835775_T01	Pt	-	112472	112778	GRMZM5G835775
GRMZM5G836544_T01	Mt	+	564496	564946	GRMZM5G836544
GRMZM5G836994_T01	Pt	-	1673	3308	GRMZM5G836994
GRMZM5G837015_T01	Mt	+	199268	199586	GRMZM5G837015
GRMZM5G838396_T01	Pt	-	81112	82518	GRMZM5G838396
GRMZM5G838554_T01	Mt	-	362801	363197	GRMZM5G838554
GRMZM5G838963_T01	Mt	+	456573	457383	GRMZM5G838963
GRMZM5G839924_T01	Mt	+	101543	102116	GRMZM5G839924
GRMZM5G841635_T01	Mt	+	208260	208961	GRMZM5G841635
GRMZM5G842963_T01	Mt	+	339778	340135	GRMZM5G842963
GRMZM5G844030_T01	Mt	+	511893	514104	GRMZM5G844030
GRMZM5G844074_T01	Pt	-	117771	118011	GRMZM5G844074
GRMZM5G844331_T01	Mt	-	351308	351713	GRMZM5G844331
GRMZM5G844605_T01	Mt	-	168896	169217	GRMZM5G844605
GRMZM5G844628_T01	Pt	-	91652	93101	GRMZM5G844628
GRMZM5G844657_T01	Mt	+	174514	174817	GRMZM5G844657
GRMZM5G845024_T01	Mt	-	138030	138330	GRMZM5G845024
GRMZM5G845230_T01	Mt	+	226252	226645	GRMZM5G845230
GRMZM5G845244_T01	Pt	-	78487	78898	GRMZM5G845244
GRMZM5G845496_T01	Mt	-	406844	407144	GRMZM5G845496
GRMZM5G845792_T01	Mt	+	438522	438930	GRMZM5G845792
GRMZM5G846068_T01	Mt	+	284755	285205	GRMZM5G846068
GRMZM5G846968_T01	Mt	-	360533	361787	GRMZM5G846968
GRMZM5G847102_T01	Mt	-	501948	502296	GRMZM5G847102
GRMZM5G848448_T01	Mt	-	342956	343355	GRMZM5G848448
GRMZM5G849018_T01	Mt	-	68276	68597	GRMZM5G849018
GRMZM5G849223_T01	Mt	+	19812	20889	GRMZM5G849223
GRMZM5G850100_T01	Mt	-	214705	215020	GRMZM5G850100
GRMZM5G851130_T01	Mt	-	479552	481148	GRMZM5G851130
GRMZM5G851708_T01	Mt	+	26912	27883	GRMZM5G851708
GRMZM5G851769_T01	Mt	-	267744	269870	GRMZM5G851769
GRMZM5G851921_T01	Mt	-	313449	313773	GRMZM5G851921
